Player Name |,Games Played |,Points |,Blocks |,Hits |
Justin Abdelkader,2,0,0,410
Chris Chelios*,69,0,0,0
Dan Cleary,63,0,0,0
Pavel Datsyuk,82,0,0,0
Aaron Downey,56,0,0,0
Dallas Drake,65,0,0,0
Kris Draper,65,0,0,0
Matt Ellis,35,0,0,0
Jonathan Ericsson,8,0,0,0
Valtteri Filppula,78,0,0,0
Johan Franzen,72,0,0,0
Mark Hartigan,23,0,0,0
Darren Helm,7,0,0,33
Tomas Holmstrom,59,0,0,0
Jiri Hudler,81,0,0,0
Tomas Kopecky,77,0,0,0
Niklas Kronwall,65,0,0,0
Brett Lebda,78,0,0,0
Nicklas Lidstrom*,76,0,0,0
Andreas Lilja,79,0,0,0
Kirk Maltby,61,0,0,0
Darren McCarty,3,54,54,216
Derek Meech,32,0,0,0
Kyle Quincey,6,0,0,0
Brian Rafalski,73,0,0,0
Mattias Ritola,2,205,0,0
Mikael Samuelsson,73,0,0,0
Garrett Stafford,2,0,0,164
Brad Stuart,9,0,0,0
Henrik Zetterberg,75,0,0,0
